TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.659849077084426	0.408512106689499	1.06582105499289	0.0892442584672097	0.0892442584672097	No
CREB3L2	0.872604046504321	0.543543184457063	1.40087824435938	0.572597874168473	0.572597874168473	No
CREBRF	0.79767753834711	0.495426338010426	1.28432706613615	0.352256104696375	0.352256104696375	No
CRY2	0.445621851390874	0.270985206533863	0.73280322928704	0.00144785257530176	0.00144785257530176	Yes
CSRNP1	0.567747191453436	0.349110050538512	0.923310208073504	0.0225157024970479	0.0225157024970479	Yes
E2F5	0.659887588387163	0.409038934648438	1.0645725685788	0.0884687958296254	0.0884687958296254	No
ELF3	1.14718953233682	0.71264065320055	1.84671449375314	0.571873747796448	0.571873747796448	No
ETV1	0.572636247600825	0.352807727211368	0.929436196475085	0.0240646655295034	0.0240646655295034	Yes
FOXA3	0.737366135340648	0.457956954661578	1.18724874032974	0.209955202941828	0.209955202941828	No
FOXD2	0.734916100741185	0.455083032698092	1.18682006649749	0.207836137290134	0.207836137290134	No
MAGED2	0.854486346832646	0.532695532777069	1.37066461420649	0.514250018418335	0.514250018418335	No
MXD4	0.81082187723356	0.502244053110509	1.30898934995632	0.390813679793655	0.390813679793655	No
NCOA7	0.726649719488631	0.448533567682324	1.17721359754924	0.19457015188118	0.19457015188118	No
NFATC4	1.00803448356859	0.628006489316869	1.6180302868665	0.9735590869234	0.9735590869234	No
NR3C2	0.634100302266717	0.392886352689556	1.02340839935576	0.0621500406644011	0.0621500406644011	No
PHC2	1.08180187370968	0.673859766590367	1.73670450735367	0.744756248945414	0.744756248945414	No
WWC2	0.696399976198301	0.431684450859639	1.12344312120402	0.13809558044029	0.13809558044029	No
XBP1	0.802516390810537	0.498593131071093	1.29169961915849	0.364961999873052	0.364961999873052	No
ZBTB18	0.729332643397228	0.453005067609059	1.17421667605679	0.193946852280576	0.193946852280576	No
ZNF117	0.892002567902066	0.552997260774822	1.43882915446822	0.639427609895715	0.639427609895715	No
ZNF141	0.569041023826936	0.349150265714063	0.92741641234548	0.0236773155496187	0.0236773155496187	Yes
ZNF19	0.698929621330599	0.432882690900098	1.12848729192102	0.142800036031707	0.142800036031707	No
ZNF254	1.05796018668239	0.65909078992187	1.6982178687973	0.815489822954503	0.815489822954503	No
ZNF281	1.08460688065954	0.675704559530711	1.74095626406757	0.736579779731636	0.736579779731636	No
ZNF33A	0.615556460399761	0.379946100815807	0.997272389758181	0.0487171259223951	0.0487171259223951	Yes
ZNF33B	0.936569657875443	0.582360190199397	1.50622027194646	0.786912924378354	0.786912924378354	No
ZNF341	1.46728866404952	0.910238499426956	2.36524386191488	0.115510534829554	0.115510534829554	No
ZNF444	0.9574705813873	0.593947978307176	1.54348520022744	0.858418704257312	0.858418704257312	No
ZNF540	0.477086868966858	0.291424194774606	0.781032888215201	0.00325421778868301	0.00325421778868301	Yes
ZNF678	0.926327986407186	0.577086628371585	1.48692327323979	0.751284998191286	0.751284998191286	No
ZNF75D	0.587887519932037	0.362038582239739	0.954626807877013	0.0317377685698374	0.0317377685698374	Yes
